pdb_id,resolution,r_free
101d,2.25,0.252
107l,1.8,
10ia,1.739,0.2277
10ra,1.79,0.2387
113l,1.8,
119l,1.65,
12ak,1.37,0.2
12hh,2.37,0.2785
130d,2.5,
134l,1.77,
13mi,2.08,0.1935
13mn,2.35,0.2294
13ms,2.18,0.1976
13mx,2.02,0.19
13nd,2.03,0.1883
13no,2.61,0.2141
13nu,1.97,0.1884
13oy,2.68,0.2333
13pf,2.41,0.2256
13ph,2.84,0.2419
13pi,2.15,0.2234
13pj,2.27,0.2246
13pl,2.55,0.2275
13pp,2.98,0.2228
13qq,2.41,0.2638
13rc,2.28,0.2167
13rd,1.89,0.1977
13ri,1.02,0.1549
13rx,1.04,0.1823
13sa,1.569,0.2341
13sk,1.536,0.2296
13sn,1.44,0.2037
13ss,1.689,0.234
13xk,1.77,0.2518
13xl,1.64,0.2398
13xr,1.47,0.2228
13zi,1.34,0.2045
145d,1.25,
154l,1.6,
17gs,1.9,0.2
197l,2.1,
198d,1.97,
1a0a,2.8,0.284
1a0j,1.7,0.215
1a12,1.7,0.219
1a18,2.4,0.273
1a1g,1.9,0.275
1a1o,2.3,
1a27,1.9,0.261
1a2a,2.8,0.285
1a3a,1.8,0.242
1a3c,1.6,0.233
1a3l,1.95,0.265
1a3s,2.8,0.26
1a40,1.7,0.269
1a41,2.3,0.309
1a45,2.3,
1a4a,1.89,
1a4g,2.2,
1a4s,2.1,0.253
1a4v,1.8,0.263
1a5n,2.4,
1a5w,2.0,0.222
1a6y,2.3,0.288
1a7r,2.01,
1a8g,2.5,0.244
1a8j,2.7,0.38
1aa7,2.08,0.28
1aar,2.3,
1ab5,2.4,0.264
1aby,2.6,0.278
1acb,2.0,
1ae4,2.4,
1aei,2.8,0.278
1aeo,2.1,
1af3,2.5,0.273
1afq,1.8,0.182
1ahc,2.0,
1ai5,2.36,0.2215
1ai6,2.55,0.2199
1aib,2.8,
1aik,2.0,0.266
1aiq,2.2,
1air,2.2,0.223
1aiz,1.8,
1aj7,2.1,0.258
1ajv,2.0,0.247
1akb,2.3,
1akj,2.65,0.276
1anb,2.8,
1anc,2.2,
1aoj,2.5,0.27
1apb,1.76,
1apt,1.8,
1aq0,2.0,0.213
1aq2,1.9,0.26
1arl,1.88,
1as7,2.0,
1asf,2.8,
1asl,2.6,
1auc,2.1,0.27
1aug,2.0,0.259
1av2,1.4,0.186
1av8,2.8,0.192
1axd,2.5,
1axt,2.15,0.3167
1ay2,2.6,
1ay6,1.8,
1ayi,2.0,0.247
1ayp,2.57,
1az8,1.8,
1azu,2.7,
1b0a,2.56,0.292
1b20,1.7,0.217
1b21,2.0,0.268
1b2j,1.6,0.234
1b3r,2.8,0.269
1b3w,2.6,0.246
1b4s,2.5,0.305
1b5o,2.2,0.237
1b5q,1.9,
1b5w,2.17,
1b5y,2.2,
1b6e,2.6,0.322
1b6v,2.0,0.256
1b6z,2.0,0.256
1b70,2.7,0.256
